column_name,mean,std,min,max,missing_count
Air Temperature,12.633976361290852,10.431030792361565,-29.78,37.6,75
Wet Bulb Temperature,10.281844780436716,9.40087756394932,-28.9,28.4,75887
Humidity,68.02013823052692,15.637001819900085,0.0,100.0,0
Rain Intensity,0.15899490470213704,1.7944584346799817,0.0,183.6,75887
Interval Rain,0.14245170596450452,1.0972502400334714,-0.9,63.42,0
Total Rain,141.52572502015676,190.49670470150707,0.0,1056.1,75887
Precipitation Type,4.265462525040106,15.584879171531316,0.0,70.0,75887
Wind Direction,140.8138118393019,121.99419104774871,0.0,359.0,0
Wind Speed,2.919035240629173,5.343428069118389,0.0,999.9,0
Maximum Wind Speed,3.558035413927031,5.956504071868138,0.0,999.9,0
Barometric Pressure,994.3114456663675,10.030820538169765,0.0,3098.5,146
Solar Radiation,112.38802919559211,843.0598517299845,-100000.0,1277.0,0
Heading,281.93000407291345,142.79706722092797,0.0,359.0,75887
Battery Life,13.16305646451981,1.5446003743611358,0.0,15.3,0
